,Units,Simulation 1,Simulation 1,Simulation 2,Simulation 2,Simulation 3,Simulation 3,Simulation 4,Simulation 4,Simulation 5,Simulation 5,Simulation 6,Simulation 6,Simulation 7,Simulation 7,Simulation 8,Simulation 8,Simulation 9,Simulation 9,Simulation 10,Simulation 10,Simulation 11,Simulation 11,Simulation 12,Simulation 12,Simulation 13,Simulation 13,Simulation 14,Simulation 14,Simulation 15,Simulation 15,Simulation 16,Simulation 16,Simulation 17,Simulation 17,Simulation 18,Simulation 18,Simulation 19,Simulation 19,Simulation 20,Simulation 20,Simulation 21,Simulation 21,Simulation 22,Simulation 22,Simulation 23,Simulation 23,Simulation 24,Simulation 24,Simulation 25,Simulation 25,Simulation 26,Simulation 26,Simulation 27,Simulation 27,Simulation 28,Simulation 28,Simulation 29,Simulation 29,Simulation 30,Simulation 30
fluxsim: Month of the year,,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
fluxsim: Day of the month,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
fluxsim: Hour of the day,hr,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15,9,10.5,12,13.5,15
Total plant cost,$,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28,21879283.28
Cost/Energy metric,-,3.202,0.447,0.388,0.377,0.384,0.653,0.399,0.371,0.364,0.368,0.445,0.375,0.359,0.354,0.358,0.391,0.362,0.349,0.346,0.35,0.378,0.356,0.345,0.342,0.346,0.377,0.356,0.344,0.34,0.345,0.381,0.358,0.346,0.342,0.345,0.393,0.362,0.35,0.345,0.35,0.418,0.37,0.357,0.353,0.359,0.483,0.385,0.367,0.364,0.372,0.792,0.417,0.382,0.377,0.39,3.437,0.458,0.395,0.385,0.398
Simulated heliostat area,m^2,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8,66442.8
Simulated heliostat count, - ,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926
Power incident on field,kW,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44,106308.44
Power absorbed by the receiver,kW,7433.529,53270.719,61427.026,63087.297,61920.303,36462.326,59653.383,64174.978,65401.634,64617.818,53497.684,63515.783,66385.287,67323.47,66517.142,60842.907,65789.668,68125.326,68859.176,67936.242,62978.187,66809.465,68978.832,69661.559,68718.141,63223.51,66958.105,69149.038,69915.434,69064.327,62413.567,66533.622,68848.136,69700.818,68925.246,60601.65,65707.211,68105.721,68914.627,68070.376,56899.021,64267.403,66767.061,67426.225,66342.49,49301.248,61902.468,64828.799,65391.149,63939.787,30067.748,57052.127,62292.109,63096.952,61015.283,6925.76,52006.925,60311.941,61797.988,59743.425
Power absorbed by the HTF,kW,1339.653,47176.844,55333.15,56993.421,55826.428,30368.451,53559.508,58081.102,59307.759,58523.942,47403.809,57421.908,60291.411,61229.595,60423.267,54749.031,59695.792,62031.45,62765.3,61842.366,56884.311,60715.59,62884.957,63567.683,62624.265,57129.635,60864.229,63055.162,63821.558,62970.452,56319.692,60439.747,62754.26,63606.942,62831.37,54507.775,59613.335,62011.846,62820.752,61976.5,50805.145,58173.527,60673.185,61332.35,60248.614,43207.372,55808.592,58734.923,59297.273,57845.911,23973.873,50958.252,56198.233,57003.076,54921.407,831.884,45913.049,54218.065,55704.113,53649.549
